timestamp,latitude,longtitude,depth_km,MD,ML,Mw,place,location
2022.12.23 21:17:02,37.4525,37.1797,6.1,,2.0,,BOLUKCAM-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 21:16:31,38.7365,43.1658,6.7,,2.3,,VAN GOLU,VAN GOLU
2022.12.23 20:58:30,37.4295,37.1567,8.3,,1.4,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:51:20,37.4492,37.1590,5.8,,1.5,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:48:51,37.4102,37.1167,5.4,,2.2,,DENIZLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:46:16,37.4578,37.2002,8.6,,1.2,,BOLUKCAM-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:43:54,37.4325,37.1560,7.1,,1.3,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:33:31,37.4530,37.1892,6.8,,2.0,,BOLUKCAM-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:32:03,37.4647,37.0910,6.7,,1.2,,CINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:31:34,35.8258,31.2442,6.4,,2.2,,AKDENIZ,AKDENIZ
2022.12.23 20:23:31,37.4017,37.1238,4.6,,4.0,3.8,NARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:23:01,37.4298,37.1797,10.4,,2.8,,DOGANLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 20:23:01,38.3575,27.2530,5.1,,1.3,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.23 19:08:54,36.4917,27.5625,4.0,,1.9,,AKDENIZ,AKDENIZ
2022.12.23 18:35:48,37.0460,28.3853,2.9,,1.2,,ATAKOY-ULA (MUGLA),MUGLA
2022.12.23 18:13:33,40.1943,29.3637,14.4,,1.3,,ERDOGAN-KESTEL (BURSA),BURSA
2022.12.23 17:34:48,40.0238,28.1343,7.3,,1.2,,GOBEL-SUSURLUK (BALIKESIR),BALIKESIR
2022.12.23 17:28:51,34.3533,33.3758,17.0,,2.6,,KIBRISIN GUNEY ACIKLARI (AKDENIZ),AKDENIZ
2022.12.23 17:19:36,40.9327,29.7765,0.0,,1.5,,CUMAKOY-KORFEZ (KOCAELI),KOCAELI
2022.12.23 17:09:41,40.7032,31.0243,14.8,,1.3,,GUZELDERE-GOLYAKA (DUZCE),DUZCE
2022.12.23 17:01:12,38.9525,27.8718,4.6,,1.1,,CAMONU-AKHISAR (MANISA),MANISA
2022.12.23 17:01:10,39.6072,29.4040,0.0,,1.1,,KAYAARASI-TAVSANLI (KUTAHYA),KUTAHYA
2022.12.23 16:59:11,37.0328,28.4298,13.1,,1.0,,CITLIK-ULA (MUGLA),MUGLA
2022.12.23 16:58:17,37.0898,28.4805,18.1,,1.1,,CICEKLI-ULA (MUGLA),MUGLA
2022.12.23 16:05:25,38.9030,43.5775,26.4,,1.5,,CAKIRBEY-(VAN),VAN
2022.12.23 15:50:19,40.7995,31.0598,4.6,,1.8,,PASAKONAGI-(DUZCE),DUZCE
2022.12.23 13:11:28,37.8465,29.8042,5.4,,2.0,,SARIKAVAK-DAZKIRI (AFYONKARAHISAR),AFYONKARAHISAR
2022.12.23 12:52:32,37.4028,37.1118,9.9,,1.5,,DENIZLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 12:38:14,39.5820,29.3868,0.0,,1.4,,KOPRUCEK-TAVSANLI (KUTAHYA),KUTAHYA
